Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
NEAR SOUTH SIDE,CASES 2005 MALE 15-44,16,2005,MALE,CHL
ARMOUR SQUARE,CASES 2005 MALE 15-44,11,2005,MALE,CHL
DOUGLAS,CASES 2005 MALE 15-44,72,2005,MALE,CHL
OAKLAND,CASES 2005 MALE 15-44,23,2005,MALE,CHL
FULLER PARK,CASES 2005 MALE 15-44,22,2005,MALE,CHL
GRAND BOULEVARD,CASES 2005 MALE 15-44,74,2005,MALE,CHL
KENWOOD,CASES 2005 MALE 15-44,44,2005,MALE,CHL
WASHINGTON PARK,CASES 2005 MALE 15-44,60,2005,MALE,CHL
HYDE PARK,CASES 2005 MALE 15-44,29,2005,MALE,CHL
WOODLAWN,CASES 2005 MALE 15-44,104,2005,MALE,CHL
SOUTH SHORE,CASES 2005 MALE 15-44,205,2005,MALE,CHL
CHATHAM,CASES 2005 MALE 15-44,153,2005,MALE,CHL
AVALON PARK,CASES 2005 MALE 15-44,35,2005,MALE,CHL
SOUTH CHICAGO,CASES 2005 MALE 15-44,132,2005,MALE,CHL
BURNSIDE,CASES 2005 MALE 15-44,18,2005,MALE,CHL
CALUMET HEIGHTS,CASES 2005 MALE 15-44,47,2005,MALE,CHL
ROSELAND,CASES 2005 MALE 15-44,193,2005,MALE,CHL
PULLMAN,CASES 2005 MALE 15-44,25,2005,MALE,CHL
SOUTH DEERING,CASES 2005 MALE 15-44,39,2005,MALE,CHL
EAST SIDE,CASES 2005 MALE 15-44,13,2005,MALE,CHL
WEST PULLMAN,CASES 2005 MALE 15-44,171,2005,MALE,CHL
RIVERDALE,CASES 2005 MALE 15-44,37,2005,MALE,CHL
HEGEWISCH,CASES 2005 MALE 15-44,6,2005,MALE,CHL
GARFIELD RIDGE,CASES 2005 MALE 15-44,26,2005,MALE,CHL
ARCHER HEIGHTS,CASES 2005 MALE 15-44,9,2005,MALE,CHL
BRIGHTON PARK,CASES 2005 MALE 15-44,38,2005,MALE,CHL
MCKINLEY PARK,CASES 2005 MALE 15-44,5,2005,MALE,CHL
